Mixture	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells	P-value	Correlation	RMSE
16-303_1	0.0436232914079951	0.214411314249935	0.501557442063582	0.092478098682942	0.147929853595546	0	0	0.88625670400523	0.562633406884784
16-304_1	0.0587799112803623	0.19571701727063	0.490045665111982	0.0979609033767393	0.157496502960286	0	0	0.843323026373949	0.606317965816742
16-901_1	0.0536855623560416	0.296542376872739	0.19136416736189	0.0936526907535649	0.364755202655765	0	0	0.907773174875656	0.421675830366638
16-902_1	0.0297879772601402	0.327551754415625	0.199370078117483	0.0730625769840293	0.370227613222722	0	0	0.876152561618883	0.482784082752713
16-903_1	0.0536800637430376	0.237814910075816	0.233883827391061	0.0968984003382337	0.377722798451852	0	0	0.930297992707778	0.377705089445179
16-904_1	0.0687320488850844	0.249646199934109	0.274602269367754	0.0934764623904331	0.313543019422619	0	0	0.897083608214436	0.459350421574445
15-501_2	0.0663269370531785	0.242128674837309	0.456848371643679	0.0982867152914775	0.136409301174356	0	0	0.834687147278126	0.606743833645977
15-502_2	0.0500950542975845	0.354208851532018	0.412340353730378	0.0817497270390284	0.101606013400992	0	0	0.785348186992991	0.632325089270176
15-503_2	0.0537910594974977	0.199570278090619	0.60173403768002	0.102252623488396	0.0426520012434673	0	0	0.770823364371241	0.700208945474845
15-504_2	0.0382606993431518	0.366583160514678	0.406093259919919	0.0964704561270623	0.0925924240951889	0	0	0.730422153561698	0.686313141629414
12-101_2	0.0431476010332294	0.389292014521333	0.384918090455766	0.0768036256207396	0.105838668368932	0	0	0.766259521778877	0.646428125279079
12-102_2	0.0661436195223481	0.45377957841052	0.284303409175061	0.0843352956380224	0.111438097254048	0	0	0.773902998294059	0.633599568273451
12-103_2	0.0708680444908286	0.210103958710742	0.386841893191826	0.100872767665829	0.231313335940774	0	0	0.816637355106726	0.601028888634203
12-104_2	0.0407463995342886	0.462926012518337	0.333399153291237	0.0806326749916151	0.0822957596645229	0	0	0.775293706466888	0.632003322115455
16-201_2	0.0703647041967788	0.255438633199633	0.432672432733024	0.110063139405225	0.131461090465339	0	0	0.774299311864018	0.659849205059084
16-202_2	0.0580691238650315	0.280130931613511	0.474644020710718	0.106127542743388	0.0810283810673524	0	0	0.734554214940823	0.6980247746175
16-203_2	0.0680850190878	0.269347564454039	0.495034638488428	0.0943334917802683	0.0731992861894643	0	0	0.71465021645424	0.717072162605139
16-204_2	0.066638028224007	0.209708768993195	0.470447536122167	0.119132090145671	0.134073576514961	0	0	0.772642253853412	0.67209461960566
16-301_2	0.118064317824841	0.0637306131460427	0.580588402199246	0.0790026297528663	0.158614037077004	0	0	0.821439580641289	0.655946435640276
16-302_2	0.168401575052593	0.111565124408028	0.44261316346328	0.0999663772151849	0.177453759860915	0	0	0.809543406515666	0.646043604903726
16-303_2	0.0989585122923229	0.23118626013599	0.456860011308188	0.0902580587716005	0.122737157491899	0	0	0.791574122817272	0.652680332682565
16-304_2	0.0745967689267469	0.220609222422622	0.503555873155958	0.0917924742396334	0.109445661255039	0	0	0.805917858403568	0.648443110100429
16-901_2	0.0704278003986966	0.226130583102154	0.326643063149943	0.116680596268039	0.260117957081168	0	0	0.833765496331356	0.569908486384629
16-902_2	0.0676242091193744	0.272544465389926	0.286139039317881	0.115189009306394	0.258503276866424	0	0	0.828328132860213	0.569453709410768
16-903_2	0.0684052511644567	0.224048830634095	0.346234896625281	0.100221622515717	0.261089399060451	0	0	0.851449443129726	0.548191431244519
16-904_2	0.0709798093836713	0.141891875167387	0.430668437385383	0.109855629128329	0.24660424893523	0	0	0.840822016111627	0.583789398379584
12-101_3	0.0939827752440735	0.184330497852772	0.484049344002224	0.0952725236205841	0.142364859280346	0	0	0.795185971274021	0.656629906804831
12-102_3	0.0526728100794632	0.363336285525674	0.449891492211588	0.07951361342101	0.0545857987622657	0	0	0.673825418105001	0.739624313273824
